DATE,LNS14000031
1/1/72,8.1
2/1/72,7.6
3/1/72,7
4/1/72,6.7
5/1/72,7
6/1/72,6.5
7/1/72,7.8
8/1/72,7.2
9/1/72,7
10/1/72,6.6
11/1/72,6.3
12/1/72,6
1/1/73,5.7
2/1/73,5.8
3/1/73,6.1
4/1/73,6.3
5/1/73,6.4
6/1/73,6.1
7/1/73,6.4
8/1/73,6.1
9/1/73,5.9
10/1/73,6
11/1/73,5.8
12/1/73,5.2
1/1/74,6.3
2/1/74,6.9
3/1/74,6.8
4/1/74,6.7
5/1/74,6.7
6/1/74,7.2
7/1/74,6.3
8/1/74,7.3
9/1/74,7.9
10/1/74,8.4
11/1/74,9
12/1/74,10
1/1/75,11.1
2/1/75,11.6
3/1/75,12.5
4/1/75,13
5/1/75,12.6
6/1/75,13.1
7/1/75,12.5
8/1/75,12.5
9/1/75,13.2
10/1/75,12.4
11/1/75,12.9
12/1/75,12.9
1/1/76,12
2/1/76,11.9
3/1/76,11.2
4/1/76,10.9
5/1/76,10.4
6/1/76,11.7
7/1/76,11.5
8/1/76,10.9
9/1/76,10.8
10/1/76,11.1
11/1/76,11.9
12/1/76,11.6
1/1/77,10.8
2/1/77,10.6
3/1/77,10.5
4/1/77,8.9
5/1/77,10.8
6/1/77,10.4
7/1/77,10.6
8/1/77,12.1
9/1/77,11.5
10/1/77,11.7
11/1/77,10.7
12/1/77,10
1/1/78,10.8
2/1/78,9.8
3/1/78,9.2
4/1/78,9.6
5/1/78,9.2
6/1/78,8.9
7/1/78,8.9
8/1/78,9
9/1/78,8.5
10/1/78,8.8
11/1/78,9.4
12/1/78,9.4
1/1/79,9.2
2/1/79,9.9
3/1/79,10
4/1/79,9.4
5/1/79,9.2
6/1/79,8.7
7/1/79,9.2
8/1/79,9.1
9/1/79,8.6
10/1/79,9.3
11/1/79,9.2
12/1/79,9.7
1/1/80,11
2/1/80,10.6
3/1/80,10.5
4/1/80,12.1
5/1/80,12.5
6/1/80,13.2
7/1/80,13.9
8/1/80,13.5
9/1/80,14
10/1/80,12.9
11/1/80,12.8
12/1/80,12
1/1/81,11.6
2/1/81,12.2
3/1/81,12.5
4/1/81,11.9
5/1/81,12.9
6/1/81,13.7
7/1/81,12.9
8/1/81,13.8
9/1/81,14
10/1/81,14.6
11/1/81,15.5
12/1/81,16.1
1/1/82,16.6
2/1/82,16.5
3/1/82,16.4
4/1/82,16.5
5/1/82,16.9
6/1/82,17
7/1/82,17.2
8/1/82,17.4
9/1/82,19.2
10/1/82,19.6
